content,confidence,start_time,end_time,type,feed
sixty,0.9257,188.048,188.308,pronunciation,201811080931-763045-22956_
one,0.8453,188.308,188.438,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Earlier,1.0,188.448,188.828,pronunciation,201811080931-763045-22956_
Resource,0.9665,188.828,189.248,pronunciation,201811080931-763045-22956_
requests,0.9699,189.248,189.688,pronunciation,201811080931-763045-22956_
fifteen,1.0,189.818,190.308,pronunciation,201811080931-763045-22956_
ENGINE,0.9997,190.308,190.778,pronunciation,201811080931-763045-22956_
four,0.3985,191.458,191.788,pronunciation,201811080931-763045-22956_
water,0.9994,193.298,193.728,pronunciation,201811080931-763045-22956_
tender,0.748,193.728,194.178,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Four,0.6799,195.958,196.378,pronunciation,201811080931-763045-22956_
can't,0.6919,208.158,208.398,pronunciation,201811080931-763045-22956_
fight,0.5371,208.398,208.558,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
The,0.6644,208.598,208.708,pronunciation,201811080931-763045-22956_
OROVILLE,0.9996,208.708,209.028,pronunciation,201811080931-763045-22956_
started,0.9935,209.318,209.618,pronunciation,201811080931-763045-22956_
happening,0.5046,209.628,209.968,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Okay,0.2324,224.758,225.068,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
I,0.2659,227.858,227.888,pronunciation,201811080931-763045-22956_
can't,0.7937,228.218,228.488,pronunciation,201811080931-763045-22956_
like,0.9598,228.488,228.678,pronunciation,201811080931-763045-22956_
the,0.8968,228.688,228.808,pronunciation,201811080931-763045-22956_
OROVILLE,0.9462,228.808,229.068,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Priority,0.9945,229.068,229.518,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Traffic,0.9915,229.528,229.868,pronunciation,201811080931-763045-22956_
done,0.6573,232.658,232.988,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Can't,0.5231,235.228,235.448,pronunciation,201811080931-763045-22956_
be,0.6308,235.628,235.758,pronunciation,201811080931-763045-22956_
reported,0.6605,235.758,236.118,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
FIRE,0.9591,236.128,236.648,pronunciation,201811080931-763045-22956_
spreading,0.4571,237.258,237.628,pronunciation,201811080931-763045-22956_
structure,0.9997,237.708,238.298,pronunciation,201811080931-763045-22956_
three,1.0,238.428,238.758,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
four,0.9849,238.768,239.118,pronunciation,201811080931-763045-22956_
eight,0.9981,239.128,239.658,pronunciation,201811080931-763045-22956_
CONCOW,0.9723,241.408,241.728,pronunciation,201811080931-763045-22956_
NORD,0.9919,241.958,242.158,pronunciation,201811080931-763045-22956_
one,0.9831,251.407,251.697,pronunciation,201811080931-763045-22956_
where,1.0,251.697,252.097,pronunciation,201811080931-763045-22956_
we're,0.9966,252.407,252.537,pronunciation,201811080931-763045-22956_
digging,0.6058,252.537,252.887,pronunciation,201811080931-763045-22956_
Can't,0.879,273.727,274.017,pronunciation,201811080931-763045-22956_
be,0.2564,274.217,274.307,pronunciation,201811080931-763045-22956_
OROVILLE,0.9513,274.307,274.537,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
Did,0.8163,274.537,274.717,pronunciation,201811080931-763045-22956_
you,0.7392,274.717,274.807,pronunciation,201811080931-763045-22956_
coffee,0.9264,274.807,275.157,pronunciation,201811080931-763045-22956_
Report,0.8302,275.157,275.517,pronunciation,201811080931-763045-22956_
of,0.8295,275.517,275.607,pronunciation,201811080931-763045-22956_
a,0.8371,275.607,275.897,pronunciation,201811080931-763045-22956_
FIRE,0.9618,276.497,277.057,pronunciation,201811080931-763045-22956_
Standing,0.9845,277.287,277.747,pronunciation,201811080931-763045-22956_
to,0.887,277.757,277.907,pronunciation,201811080931-763045-22956_
a,0.9995,277.907,278.057,pronunciation,201811080931-763045-22956_
structure,0.995,278.077,278.647,pronunciation,201811080931-763045-22956_
three,1.0,278.657,279.127,pronunciation,201811080931-763045-22956_
four,0.9065,279.137,279.447,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
eight,0.9969,279.457,279.947,pronunciation,201811080931-763045-22956_
north,0.9611,280.997,281.327,pronunciation,201811080931-763045-22956_
of,0.9629,281.327,281.437,pronunciation,201811080931-763045-22956_
CONCOW,0.9349,281.447,281.767,pronunciation,201811080931-763045-22956_
CONCOW,0.912,282.557,282.867,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
You,0.9117,286.287,286.717,pronunciation,201811080931-763045-22956_
were,0.9667,287.627,288.007,pronunciation,201811080931-763045-22956_
bound,0.7657,288.437,288.857,pronunciation,201811080931-763045-22956_
for,0.5167,290.787,290.857,pronunciation,201811080931-763045-22956_
years,0.5327,291.107,291.767,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
forming,0.6833,305.347,305.737,pronunciation,201811080931-763045-22956_
a,0.9985,305.737,305.897,pronunciation,201811080931-763045-22956_
hardware,1.0,305.907,306.397,pronunciation,201811080931-763045-22956_
on,0.8839,306.397,306.507,pronunciation,201811080931-763045-22956_
highway,0.8558,306.707,307.167,pronunciation,201811080931-763045-22956_
PHRASE,0.4594,308.757,308.937,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Today,0.4601,310.647,310.947,pronunciation,201811080931-763045-22956_
Break,0.8013,312.387,312.917,pronunciation,201811080931-763045-22956_
SOUNDSLIKE,0.8859,323.237,323.627,pronunciation,201811080931-763045-22956_
OROVILLE,0.9922,323.667,324.057,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Confirming,0.9998,324.057,324.457,pronunciation,201811080931-763045-22956_
it,0.5351,324.457,324.527,pronunciation,201811080931-763045-22956_
like,0.9985,324.537,324.717,pronunciation,201811080931-763045-22956_
he,0.2792,324.727,324.817,pronunciation,201811080931-763045-22956_
does,0.94,324.817,324.987,pronunciation,201811080931-763045-22956_
like,0.2823,324.987,325.147,pronunciation,201811080931-763045-22956_
to,0.5445,325.647,325.707,pronunciation,201811080931-763045-22956_
make,0.9939,325.707,325.987,pronunciation,201811080931-763045-22956_
it,0.8489,325.987,326.127,pronunciation,201811080931-763045-22956_
back,0.9509,327.157,327.547,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Mandatory,0.8924,327.607,328.177,pronunciation,201811080931-763045-22956_
for,0.7847,328.187,328.327,pronunciation,201811080931-763045-22956_
CONCOW,0.9999,328.327,328.667,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Affirmative,0.991,330.787,331.477,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
NORD,0.9388,334.877,335.127,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
COHASSET,0.9932,335.547,336.067,pronunciation,201811080931-763045-22956_
or,0.4127,337.477,337.757,pronunciation,201811080931-763045-22956_
God,0.505,337.757,337.997,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
We,0.9299,339.147,339.297,pronunciation,201811080931-763045-22956_
checked,0.9589,339.297,339.497,pronunciation,201811080931-763045-22956_
on,1.0,339.497,339.637,pronunciation,201811080931-763045-22956_
every,0.7845,339.637,339.937,pronunciation,201811080931-763045-22956_
general,0.9648,339.947,340.317,pronunciation,201811080931-763045-22956_
won,0.2821,340.317,340.477,pronunciation,201811080931-763045-22956_
and,0.1493,340.747,340.867,pronunciation,201811080931-763045-22956_
lost,0.2633,340.867,341.117,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
How,0.9431,343.487,343.657,pronunciation,201811080931-763045-22956_
the,0.9994,343.657,343.817,pronunciation,201811080931-763045-22956_
edge,0.9047,343.817,344.017,pronunciation,201811080931-763045-22956_
of,0.9025,344.017,344.127,pronunciation,201811080931-763045-22956_
one,1.0,344.127,344.277,pronunciation,201811080931-763045-22956_
has,0.76,344.277,344.407,pronunciation,201811080931-763045-22956_
seen,0.9368,344.447,344.647,pronunciation,201811080931-763045-22956_
as,0.3734,344.647,344.787,pronunciation,201811080931-763045-22956_
well,0.9848,344.817,345.137,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Thirty,0.9998,346.337,346.717,pronunciation,201811080931-763045-22956_
six,0.9931,346.727,346.977,pronunciation,201811080931-763045-22956_
last,0.9996,351.787,352.147,pronunciation,201811080931-763045-22956_
year,0.9831,353.947,354.147,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
I,0.9062,354.147,354.197,pronunciation,201811080931-763045-22956_
got,0.8152,354.197,354.317,pronunciation,201811080931-763045-22956_
FIRE,0.2532,354.337,354.507,pronunciation,201811080931-763045-22956_
twenty,1.0,357.087,357.397,pronunciation,201811080931-763045-22956_
one,0.9983,357.397,357.567,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Just,0.8872,362.447,362.707,pronunciation,201811080931-763045-22956_
FIRE,0.9895,367.511,367.751,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
FIRE,0.3902,374.131,374.361,pronunciation,201811080931-763045-22956_
travelled,0.4741,374.391,374.821,pronunciation,201811080931-763045-22956_
around,0.9978,374.821,375.071,pronunciation,201811080931-763045-22956_
the,1.0,375.071,375.141,pronunciation,201811080931-763045-22956_
area,1.0,375.141,375.591,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
They,0.167,375.771,375.831,pronunciation,201811080931-763045-22956_
don't,0.7263,375.831,375.961,pronunciation,201811080931-763045-22956_
believe,0.8843,375.961,376.181,pronunciation,201811080931-763045-22956_
they're,0.2483,376.181,376.311,pronunciation,201811080931-763045-22956_
FIRE,0.955,377.101,377.421,pronunciation,201811080931-763045-22956_
around,0.9784,377.421,377.901,pronunciation,201811080931-763045-22956_
further,0.9995,378.691,379.191,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Sorry,0.9252,382.761,382.991,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Your,0.8985,382.991,383.121,pronunciation,201811080931-763045-22956_
radio,0.9946,383.121,383.461,pronunciation,201811080931-763045-22956_
broke,0.9655,383.461,383.761,pronunciation,201811080931-763045-22956_
your,0.997,383.781,384.051,pronunciation,201811080931-763045-22956_
transmission,0.4539,384.061,384.701,pronunciation,201811080931-763045-22956_
from,0.997,384.811,385.121,pronunciation,201811080931-763045-22956_
the,0.453,385.131,385.191,pronunciation,201811080931-763045-22956_
of,0.9776,385.241,385.421,pronunciation,201811080931-763045-22956_
the,0.9969,385.421,385.541,pronunciation,201811080931-763045-22956_
area,0.9964,385.541,385.851,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
And,0.7814,385.851,385.951,pronunciation,201811080931-763045-22956_
you,0.9893,385.961,386.101,pronunciation,201811080931-763045-22956_
feel,1.0,386.101,386.381,pronunciation,201811080931-763045-22956_
anything,1.0,386.381,386.801,pronunciation,201811080931-763045-22956_
way,0.5902,386.811,387.231,pronunciation,201811080931-763045-22956_
?,,nan,nan,punctuation,201811080931-763045-22956_
Do,0.6763,387.241,387.361,pronunciation,201811080931-763045-22956_
not,1.0,387.371,387.571,pronunciation,201811080931-763045-22956_
have,1.0,387.571,387.731,pronunciation,201811080931-763045-22956_
any,1.0,387.731,387.921,pronunciation,201811080931-763045-22956_
further,1.0,387.931,388.241,pronunciation,201811080931-763045-22956_
on,1.0,388.241,388.361,pronunciation,201811080931-763045-22956_
that,1.0,388.361,388.571,pronunciation,201811080931-763045-22956_
one,0.9957,388.571,388.721,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
DANGER,0.9792,390.481,390.731,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Thank,0.9812,393.131,393.521,pronunciation,201811080931-763045-22956_
you,0.9731,393.521,393.751,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Responding,0.9365,397.381,397.821,pronunciation,201811080931-763045-22956_
to,0.9985,397.831,397.981,pronunciation,201811080931-763045-22956_
our,0.8507,397.981,398.261,pronunciation,201811080931-763045-22956_
stage,0.807,398.271,398.611,pronunciation,201811080931-763045-22956_
Four,0.3072,398.621,399.001,pronunciation,201811080931-763045-22956_
incidents,0.38,399.651,400.161,pronunciation,201811080931-763045-22956_
Saving,0.8267,400.481,400.841,pronunciation,201811080931-763045-22956_
and,0.7999,400.841,400.981,pronunciation,201811080931-763045-22956_
Isis,0.7812,400.981,401.301,pronunciation,201811080931-763045-22956_
has,0.9816,401.311,401.631,pronunciation,201811080931-763045-22956_
been,0.9774,401.641,401.761,pronunciation,201811080931-763045-22956_
loosed,0.2815,401.761,401.961,pronunciation,201811080931-763045-22956_
YANKEE-HILL,0.9817,401.971,402.741,pronunciation,201811080931-763045-22956_
hardware,1.0,402.741,403.241,pronunciation,201811080931-763045-22956_
on,0.963,403.251,403.381,pronunciation,201811080931-763045-22956_
highway,0.9995,403.391,403.771,pronunciation,201811080931-763045-22956_
seventy,0.7881,403.821,404.131,pronunciation,201811080931-763045-22956_
seven,0.9004,405.271,405.471,pronunciation,201811080931-763045-22956_
PHRASE,0.468,405.491,405.681,pronunciation,201811080931-763045-22956_
and,0.9502,409.281,409.501,pronunciation,201811080931-763045-22956_
thirty,1.0,409.511,409.821,pronunciation,201811080931-763045-22956_
three,1.0,409.821,409.981,pronunciation,201811080931-763045-22956_
OROVILLE,0.9999,409.981,410.291,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Are,0.8629,410.801,410.881,pronunciation,201811080931-763045-22956_
you,0.8641,410.881,410.991,pronunciation,201811080931-763045-22956_
available,0.9247,410.991,411.311,pronunciation,201811080931-763045-22956_
?,,nan,nan,punctuation,201811080931-763045-22956_
OROVILLE,0.9631,413.121,413.501,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
There's,0.6341,419.161,419.361,pronunciation,201811080931-763045-22956_
a,0.8589,419.361,419.491,pronunciation,201811080931-763045-22956_
little,0.7242,419.541,419.871,pronunciation,201811080931-763045-22956_
thirty,0.9997,423.341,423.721,pronunciation,201811080931-763045-22956_
three,1.0,423.721,424.091,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
SMOKE,0.5747,425.831,426.051,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Thirty,1.0,447.971,448.431,pronunciation,201811080931-763045-22956_
three,1.0,448.431,448.591,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
Company,0.5477,448.591,448.931,pronunciation,201811080931-763045-22956_
thirty,0.9997,448.941,449.141,pronunciation,201811080931-763045-22956_
three,0.996,449.141,449.361,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Medics,0.6393,449.461,449.791,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Medical,0.9999,449.801,450.181,pronunciation,201811080931-763045-22956_
saying,0.6405,450.411,450.631,pronunciation,201811080931-763045-22956_
six,0.94,450.681,450.881,pronunciation,201811080931-763045-22956_
to,0.7009,450.891,451.071,pronunciation,201811080931-763045-22956_
four,0.9958,451.081,451.311,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Five,0.9999,451.321,451.551,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Avery,0.3762,451.651,451.981,pronunciation,201811080931-763045-22956_
cross,0.7631,452.191,452.471,pronunciation,201811080931-763045-22956_
the,0.4775,452.471,452.541,pronunciation,201811080931-763045-22956_
road,0.6053,452.911,453.291,pronunciation,201811080931-763045-22956_
ENGINE,1.0,462.791,463.081,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Anyone,0.9604,463.081,463.421,pronunciation,201811080931-763045-22956_
?,,nan,nan,punctuation,201811080931-763045-22956_
OROVILLE,0.9228,482.201,482.591,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Vicar,0.333,482.701,483.041,pronunciation,201811080931-763045-22956_
one,0.7761,483.041,483.291,pronunciation,201811080931-763045-22956_
confirming,1.0,483.631,484.201,pronunciation,201811080931-763045-22956_
There,0.6482,507.879,507.989,pronunciation,201811080931-763045-22956_
is,0.6423,507.989,508.139,pronunciation,201811080931-763045-22956_
another,1.0,508.139,508.489,pronunciation,201811080931-763045-22956_
car,1.0,508.489,508.919,pronunciation,201811080931-763045-22956_
a,0.4218,509.489,509.519,pronunciation,201811080931-763045-22956_
quarter,0.9994,509.589,509.859,pronunciation,201811080931-763045-22956_
mile,0.9132,509.859,510.269,pronunciation,201811080931-763045-22956_
south,1.0,510.469,510.739,pronunciation,201811080931-763045-22956_
of,1.0,510.739,510.889,pronunciation,201811080931-763045-22956_
our,1.0,510.899,511.119,pronunciation,201811080931-763045-22956_
location,1.0,511.119,511.599,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
And,0.9834,511.599,511.709,pronunciation,201811080931-763045-22956_
you,0.4996,511.709,511.799,pronunciation,201811080931-763045-22956_
want,0.2745,511.799,511.949,pronunciation,201811080931-763045-22956_
to,0.4193,511.949,512.009,pronunciation,201811080931-763045-22956_
check,0.7269,512.009,512.179,pronunciation,201811080931-763045-22956_
in,0.7084,512.179,512.249,pronunciation,201811080931-763045-22956_
on,1.0,512.249,512.339,pronunciation,201811080931-763045-22956_
them,0.9958,512.339,512.469,pronunciation,201811080931-763045-22956_
?,,nan,nan,punctuation,201811080931-763045-22956_
down,1.0,512.469,512.789,pronunciation,201811080931-763045-22956_
with,0.2575,513.069,513.199,pronunciation,201811080931-763045-22956_
everything,0.9425,513.199,513.559,pronunciation,201811080931-763045-22956_
with,0.9223,513.559,513.679,pronunciation,201811080931-763045-22956_
them,0.8004,513.689,513.829,pronunciation,201811080931-763045-22956_
as,0.7629,513.829,513.929,pronunciation,201811080931-763045-22956_
well,1.0,513.929,514.189,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Cancel,0.9893,514.469,514.899,pronunciation,201811080931-763045-22956_
Division,0.9998,514.899,515.269,pronunciation,201811080931-763045-22956_
One,0.8652,515.269,515.479,pronunciation,201811080931-763045-22956_
entering,1.0,520.889,521.239,pronunciation,201811080931-763045-22956_
the,1.0,521.239,521.359,pronunciation,201811080931-763045-22956_
Count,0.6472,521.369,521.619,pronunciation,201811080931-763045-22956_
CHEROKEE,0.6485,521.619,522.089,pronunciation,201811080931-763045-22956_
for,0.9703,537.199,537.579,pronunciation,201811080931-763045-22956_
a,0.4817,537.589,537.619,pronunciation,201811080931-763045-22956_
division,0.994,537.629,538.009,pronunciation,201811080931-763045-22956_
one,0.9881,538.009,538.249,pronunciation,201811080931-763045-22956_
condition,0.5949,538.259,538.689,pronunciation,201811080931-763045-22956_
one,0.8216,538.689,538.829,pronunciation,201811080931-763045-22956_
way,0.8479,538.839,539.339,pronunciation,201811080931-763045-22956_
or,0.6044,539.339,539.399,pronunciation,201811080931-763045-22956_
another,1.0,540.659,541.019,pronunciation,201811080931-763045-22956_
Eagle,0.8673,541.019,541.319,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Understood,0.9871,544.469,545.019,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
Citizen,0.5667,545.929,546.319,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
When,0.9877,546.319,546.449,pronunciation,201811080931-763045-22956_
I,0.9636,546.449,546.519,pronunciation,201811080931-763045-22956_
copy,0.6104,546.519,547.009,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Have,0.1393,548.239,548.359,pronunciation,201811080931-763045-22956_
you,0.6657,548.459,548.599,pronunciation,201811080931-763045-22956_
got,0.2673,548.599,548.789,pronunciation,201811080931-763045-22956_
SMOKE,0.9933,571.559,571.799,pronunciation,201811080931-763045-22956_
?,,nan,nan,punctuation,201811080931-763045-22956_
SOUNDSLIKE,0.3207,572.229,572.539,pronunciation,201811080931-763045-22956_
?,,nan,nan,punctuation,201811080931-763045-22956_
Starting,0.5397,572.579,572.819,pronunciation,201811080931-763045-22956_
in,0.8135,572.819,572.939,pronunciation,201811080931-763045-22956_
twenty,1.0,572.949,573.189,pronunciation,201811080931-763045-22956_
four,0.5588,573.189,573.409,pronunciation,201811080931-763045-22956_
eighty,0.7857,573.419,573.629,pronunciation,201811080931-763045-22956_
four,0.8179,573.629,573.869,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
OROVILLE,0.9288,585.669,586.119,pronunciation,201811080931-763045-22956_
",",,nan,nan,punctuation,201811080931-763045-22956_
I'm,0.9982,592.099,592.289,pronunciation,201811080931-763045-22956_
unable,1.0,592.289,592.609,pronunciation,201811080931-763045-22956_
to,1.0,592.609,592.679,pronunciation,201811080931-763045-22956_
get,1.0,592.679,592.829,pronunciation,201811080931-763045-22956_
a,0.598,592.829,592.879,pronunciation,201811080931-763045-22956_
hold,0.598,592.879,593.059,pronunciation,201811080931-763045-22956_
of,1.0,593.059,593.119,pronunciation,201811080931-763045-22956_
the,1.0,593.119,593.269,pronunciation,201811080931-763045-22956_
icy,0.3901,593.269,593.719,pronunciation,201811080931-763045-22956_
roads,0.394,595.029,595.389,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Wait,0.1261,596.189,597.359,pronunciation,201811080931-763045-22956_
just,0.9789,598.459,598.729,pronunciation,201811080931-763045-22956_
down,0.6389,598.979,599.179,pronunciation,201811080931-763045-22956_
here,0.9583,599.189,599.499,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
I,0.9277,599.529,599.659,pronunciation,201811080931-763045-22956_
don't,0.9827,599.659,599.859,pronunciation,201811080931-763045-22956_
know,0.3954,600.039,600.099,pronunciation,201811080931-763045-22956_
if,0.3959,600.109,600.189,pronunciation,201811080931-763045-22956_
you,0.9302,600.199,600.289,pronunciation,201811080931-763045-22956_
can,0.9925,600.289,600.429,pronunciation,201811080931-763045-22956_
relate,1.0,600.429,600.799,pronunciation,201811080931-763045-22956_
to,0.8938,600.809,600.869,pronunciation,201811080931-763045-22956_
you,0.9899,600.869,601.129,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
At,1.0,603.409,603.579,pronunciation,201811080931-763045-22956_
least,1.0,603.579,603.799,pronunciation,201811080931-763045-22956_
five,1.0,603.809,604.079,pronunciation,201811080931-763045-22956_
strike,0.9086,604.089,604.359,pronunciation,201811080931-763045-22956_
came,0.7278,604.369,604.649,pronunciation,201811080931-763045-22956_
down,0.8866,605.169,605.379,pronunciation,201811080931-763045-22956_
in,0.3728,605.379,605.439,pronunciation,201811080931-763045-22956_
this,0.6559,605.449,605.569,pronunciation,201811080931-763045-22956_
area,0.9925,605.579,605.959,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Kind,0.9148,606.569,606.769,pronunciation,201811080931-763045-22956_
of,0.9498,606.769,606.879,pronunciation,201811080931-763045-22956_
elderly,0.9538,606.879,607.209,pronunciation,201811080931-763045-22956_
people,1.0,607.479,607.749,pronunciation,201811080931-763045-22956_
look,0.4577,607.749,607.939,pronunciation,201811080931-763045-22956_
up,0.3562,608.359,608.439,pronunciation,201811080931-763045-22956_
to,0.4429,608.439,608.499,pronunciation,201811080931-763045-22956_
him,0.5402,608.499,608.599,pronunciation,201811080931-763045-22956_
at,0.6475,608.599,608.699,pronunciation,201811080931-763045-22956_
all,1.0,608.699,608.969,pronunciation,201811080931-763045-22956_
attacks,0.446,608.999,609.319,pronunciation,201811080931-763045-22956_
and,0.4435,609.319,609.529,pronunciation,201811080931-763045-22956_
we,0.4435,609.609,609.739,pronunciation,201811080931-763045-22956_
got,1.0,609.739,609.949,pronunciation,201811080931-763045-22956_
a,1.0,609.949,610.239,pronunciation,201811080931-763045-22956_
structures,0.9548,610.249,610.629,pronunciation,201811080931-763045-22956_
are,0.9604,610.629,610.829,pronunciation,201811080931-763045-22956_
burning,0.993,610.869,611.199,pronunciation,201811080931-763045-22956_
down,1.0,611.199,611.409,pronunciation,201811080931-763045-22956_
here,0.9995,611.409,611.619,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
We'LL,0.4919,615.982,616.492,pronunciation,201811080931-763045-22956_
be,1.0,616.492,616.632,pronunciation,201811080931-763045-22956_
in,0.9608,616.632,616.752,pronunciation,201811080931-763045-22956_
something,0.6345,616.762,617.062,pronunciation,201811080931-763045-22956_
with,0.9649,617.062,617.392,pronunciation,201811080931-763045-22956_
no,0.4919,617.402,617.522,pronunciation,201811080931-763045-22956_
exchange,0.9759,617.522,618.092,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
You,0.907,618.132,618.332,pronunciation,201811080931-763045-22956_
have,0.9407,618.332,618.502,pronunciation,201811080931-763045-22956_
beating,0.3915,618.512,618.732,pronunciation,201811080931-763045-22956_
around,0.693,618.732,619.222,pronunciation,201811080931-763045-22956_
the,0.9931,619.252,619.712,pronunciation,201811080931-763045-22956_
site,0.4263,619.942,620.132,pronunciation,201811080931-763045-22956_
of,0.9119,620.132,620.272,pronunciation,201811080931-763045-22956_
Give,0.6641,624.852,625.012,pronunciation,201811080931-763045-22956_
me,0.66,625.462,625.542,pronunciation,201811080931-763045-22956_
a,0.7226,625.542,625.622,pronunciation,201811080931-763045-22956_
call,0.7616,625.622,625.912,pronunciation,201811080931-763045-22956_
on,0.5854,625.912,626.022,pronunciation,201811080931-763045-22956_
advice,0.495,626.022,626.482,pronunciation,201811080931-763045-22956_
.,,nan,nan,punctuation,201811080931-763045-22956_
Very,1.0,627.912,628.292,pronunciation,201811080931-763045-22956_
funny,0.9994,628.302,628.562,pronunciation,201811080931-763045-22956_
and,0.7249,628.562,628.652,pronunciation,201811080931-763045-22956_
tied,0.6712,628.662,628.982,pronunciation,201811080931-763045-22956_
up,0.8011,628.982,629.132,pronunciation,201811080931-763045-22956_
by,0.9148,634.072,634.362,pronunciation,201811080931-763045-22956_
twenty,1.0,634.482,634.972,pronunciation,201811080931-763045-22956_
one,1.0,634.972,635.122,pronunciation,201811080931-763045-22956_
seven,0.9978,635.352,635.602,pronunciation,201811080931-763045-22956_
in,0.9799,635.602,635.692,pronunciation,201811080931-763045-22956_
the,1.0,635.692,635.762,pronunciation,201811080931-763045-22956_
area,1.0,635.762,636.022,pronunciation,201811080931-763045-22956_
Road,1.0,636.352,636.582,pronunciation,201811080931-763045-22956_
report,0.927,636.582,636.812,pronunciation,201811080931-763045-22956_
multiple,0.964,636.822,637.272,pronunciation,201811080931-763045-22956_
