text,speaker_start,speaker_end,speaker_length,speaker,sentence,word_confidence,avg_confidence,min_conf,feed,location,state,feed_name,department,INTPTLON,INTPTLAT,ID_PLACES,text_clean,contains_fire,contains_evac,start_time,end_time
ENGINE five . A report of an illegal burn in the area . ,1641.708,1642.008,0.2999999999999545,spk_1,222.0,"[0.9953, 0.9755, nan, 1.0, 1.0, 1.0, 1.0, 1.0, 0.7781, 0.9809, 0.9239, 0.9892, nan]",0.9675363636363637,0.7781,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],engine five a report of an illegal burn in the area,0,0,2018-11-08 07:28:21-08:00,2018-11-08 07:28:22-08:00
And ,1642.008,1651.158,9.149999999999864,spk_7,223.0,[1.0],1.0,1.0,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],and,0,0,2018-11-08 07:28:22-08:00,2018-11-08 07:28:31-08:00
You were and then wait . Putting an end point We'LL be above on the other end . You broke up with me Area builder ,926.434,933.174,6.740000000000009,spk_2,106.0,"[0.6404, 0.5038, 0.9999, 0.9615, 0.7774, nan, 0.5865, 0.6377, 0.6363, 0.994, 0.2082, 0.9999, 0.2298, 0.9324, 0.9725, 0.9659, 0.9908, nan, 0.9998, 0.9998, 0.6172, 0.9998, 0.164, 0.8742, 0.4458]",0.7451130434782608,0.164,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],you were and then wait putting an end point we ll be above on the other end you broke up with me area builder,0,0,2018-11-08 07:28:26-08:00,2018-11-08 07:28:33-08:00
"it's five . A report of an illegal burn . Unknown address , please . Eighth Street and Fruit Road , Probably in the Belmont area . Unnoticed . Is the county address or not ? CHICO , FIRE zero seven twenty . ",1658.108,1658.868,0.7599999999999909,spk_3,225.0,"[0.4657, 0.7621, nan, 0.7039, 0.9848, 0.9849, 1.0, 1.0, 0.5767, nan, 0.9182, 0.9943, nan, 0.9994, nan, 0.4227, 0.8635, 1.0, 0.4715, 0.5698, nan, 0.6306, 1.0, 0.9997, 0.9215, 1.0, nan, 0.847, nan, 0.4451, 0.9681, 1.0, 0.9951, 0.9967, 1.0, nan, 0.997, nan, 0.9995, 0.4516, 0.9812, 0.9812, nan]",0.8464181818181818,0.4227,201811080901-584135-22956_,['CHICO'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.8183895],[39.7554055],['CHICO'],it s five a report of an illegal burn unknown address please eighth street and fruit road probably in the belmont area unnoticed is the county address or not chico fire zero seven twenty,1,0,2018-11-08 07:28:38-08:00,2018-11-08 07:28:38-08:00
Radio FIRE come in . ,1726.436,1728.766,2.3300000000001546,spk_6,67.0,"[0.5125, 0.7452, 0.7707, 0.7501, nan]",0.694625,0.5125,201811080900-205450-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],radio fire come in,1,0,2018-11-08 07:28:46-08:00,2018-11-08 07:28:48-08:00
and far way So far . Good . ,958.024,958.254,0.2300000000000182,spk_4,109.0,"[0.9932, 0.4559, 0.6845, 0.9927, 0.9735, nan, 0.8523, nan]",0.8253499999999999,0.4559,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],and far way so far good,0,0,2018-11-08 07:28:58-08:00,2018-11-08 07:28:58-08:00
Thank you ,986.294,986.754,0.4600000000000364,spk_0,111.0,"[0.4058, 0.4048]",0.4053,0.4048,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],thank you,0,0,2018-11-08 07:29:26-08:00,2018-11-08 07:29:26-08:00
"Five . A report of an illegal burn in the area . Five . Report of an illegal burn unknown address between Street and Bruce Road , possibly in the Belmont area . Unknown in this county address or not FIRE . Zero seven twenty eight ",1799.083,1800.623,1.5399999999999636,spk_3,70.0,"[0.9913, nan, 1.0, 1.0, 1.0, 1.0, 0.9989, 0.8783, 0.9897, 0.9991, 0.9996, nan, 0.9378, nan, 0.792, 0.7871, 0.995, 1.0, 0.55, 0.7186, 0.9977, 1.0, 0.7916, 0.9908, 0.4454, 0.5229, nan, 0.9999, 0.9999, 0.9912, 0.9434, 1.0, nan, 0.9946, 0.4018, 0.4634, 0.8988, 0.9997, 0.9998, 1.0, 1.0, nan, 0.6455, 0.9814, 1.0, 0.9984]",0.8925899999999999,0.4018,201811080900-205450-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],five a report of an illegal burn in the area five report of an illegal burn unknown address between street and bruce road possibly in the belmont area unknown in this county address or not fire zero seven twenty eight,1,0,2018-11-08 07:29:59-08:00,2018-11-08 07:30:00-08:00
The ,1768.618,1769.728,1.1100000000001273,spk_3,235.0,[0.9977],0.9977,0.9977,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],the,0,0,2018-11-08 07:30:28-08:00,2018-11-08 07:30:29-08:00
"Just plain PHRASE right now . I'm gonna make you division . You are going to get ENGINE twenty one , sixty two , twenty one , eighty , twenty one , forty . ",1768.528,1768.618,0.08999999999991815,spk_0,234.0,"[0.9991, 0.6567, 0.6452, 1.0, 1.0, nan, 0.9995, 0.6167, 0.9936, 0.9989, 0.6999, nan, 0.781, 0.7812, 1.0, 1.0, 0.9999, 0.8882, 0.985, 0.9379, nan, 0.7592, 0.7812, nan, 1.0, 1.0, nan, 0.8555, nan, 1.0, 0.9999, nan, 0.9998, nan]",0.8991692307692308,0.6167,201811080901-584135-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],just plain phrase right now i m gonna make you division you are going to get engine twenty one sixty two twenty one eighty twenty one forty,0,0,2018-11-08 07:30:28-08:00,2018-11-08 07:30:28-08:00
"CONCOW . EVACUATE , BIGGS . Thanks ",1058.111,1060.081,1.9699999999998,spk_4,115.0,"[1.0, nan, 0.9855, nan, 0.2466, nan, 0.4596]",0.672925,0.2466,201811080913-878163-1929_,"['BIGGS', 'CONCOW']",CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,"[-121.7100758, -121.513493]","[39.4132906, 39.7703164]","['BIGGS', 'CONCOW']",concow evacuate biggs thanks,0,1,2018-11-08 07:30:38-08:00,2018-11-08 07:30:40-08:00
FIRE years advising ninety seven ,107.74,109.66,1.9200000000000017,spk_3,1.0,"[0.7845, 0.5646, 0.9512, 0.9866, 0.9827]",0.8539200000000001,0.5646,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],fire years advising ninety seven,1,0,2018-11-08 07:30:47-08:00,2018-11-08 07:30:49-08:00
God ,0.41,0.65,0.24000000000000005,spk_0,1.0,[0.9985],0.9985,0.9985,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],god,0,0,2018-11-08 07:31:00-08:00,2018-11-08 07:31:00-08:00
"Stress One ENGINE one Medic . Traffic accident Probably four five vehicles involved . Southdown , Highway ninety nine , COHASSET ENGINE one and trust one . Traffic accident . Southdown Highway ninety nine , ",159.32,165.5,6.180000000000007,spk_6,5.0,"[0.8981, 0.8504, 0.9451, 0.7876, 0.5044, nan, 1.0, 0.9128, 0.9965, 0.9519, 1.0, 0.997, 1.0, nan, 1.0, nan, 1.0, 1.0, 1.0, nan, 0.655, 1.0, 0.6848, 0.9734, 0.9666, 0.8939, nan, 1.0, 0.9991, nan, 1.0, 1.0, 1.0, 1.0, nan]",0.9291642857142858,0.5044,201811080929-467022-25641_,"['COHASSET', 'COHASSET']",CA,Chico_Police_Dispatch,POLICE,"[-121.7448212, -121.7448212]","[39.9027142, 39.9027142]","['COHASSET', 'COHASSET']",stress one engine one medic traffic accident probably four five vehicles involved southdown highway ninety nine cohasset engine one and trust one traffic accident southdown highway ninety nine,0,0,2018-11-08 07:31:39-08:00,2018-11-08 07:31:45-08:00
"Unknown on injuries . We'LL be advising you to be at least forty five vehicles involved . CHICO , FIRE zero seven thirty . ",168.99,169.69,0.6999999999999886,spk_7,6.0,"[0.7812, 0.9987, 0.998, nan, 0.5781, 0.9997, 0.6487, 0.9605, 0.9358, 0.975, 0.9998, 0.9998, 0.6407, 0.9332, 0.9986, 0.9324, nan, 0.1719, nan, 0.9749, 0.9169, 1.0, 0.6939, nan]",0.8568899999999999,0.1719,201811080929-467022-25641_,['CHICO'],CA,Chico_Police_Dispatch,POLICE,[-121.8183895],[39.7554055],['CHICO'],unknown on injuries we ll be advising you to be at least forty five vehicles involved chico fire zero seven thirty,1,0,2018-11-08 07:31:48-08:00,2018-11-08 07:31:49-08:00
An ,56.63,57.41,0.779999999999994,spk_4,15.0,[0.4692],0.4692,0.4692,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],an,0,0,2018-11-08 07:31:56-08:00,2018-11-08 07:31:57-08:00
"was your biggest . I think you're making me years of it . You're getting ENGINE eighty years . One , two , three . And those tender twenty one forty NORD Good can't fight . They were reported to large thoughts in a yard and a resident and CONCOW with an address PHRASE . One , three , three , nine , zero , thirty three nights . Metal Springs Road ",56.53,56.63,0.10000000000000142,spk_3,14.0,"[0.9373, 0.9746, 0.9914, nan, 0.7446, 0.5104, 0.9734, 1.0, 0.789, 0.7614, 0.7435, 0.6758, nan, 0.9834, 0.9532, 0.7641, 0.5853, 0.6827, nan, 0.8889, nan, 0.7056, nan, 1.0, nan, 0.9995, 1.0, 0.4146, 1.0, 0.9923, 0.9951, 0.4419, 0.9821, 0.8246, 0.6646, nan, 0.898, 0.9608, 0.9876, 0.8879, 0.8908, 0.3736, 0.9457, 0.9918, 1.0, 0.9261, 0.9943, 0.4832, 0.7627, 0.9242, 0.8552, 0.9914, 0.9998, 0.391, nan, 0.9928, nan, 1.0, nan, 1.0, nan, 1.0, nan, 0.9992, nan, 0.7066, 0.9991, 0.5786, nan, 0.8502, 0.9292, 0.9068]",0.8483775862068965,0.3736,201811080931-763045-22956_,"['CONCOW', 'NORD']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.513493, -121.9549057]","[39.7703164, 39.7737878]","['CONCOW', 'NORD']",was your biggest i think you re making me years of it you re getting engine eighty years one two three and those tender twenty one forty nord good can t fight they were reported to large thoughts in a yard and a resident and concow with an address phrase one three three nine zero thirty three nights metal springs road,0,0,2018-11-08 07:31:56-08:00,2018-11-08 07:31:56-08:00
"right now . I'm gonna make you You are going to get eighty two . Twenty one . You're making me twenty one eight , two one , three and twenty one forty . Thank you . Good . And I say we reported to lark pots and a yard . Residents and CONCOW , ",1150.3,1150.6,0.2999999999999545,spk_0,126.0,"[1.0, 1.0, nan, 1.0, 0.8941, 0.9878, 0.9987, 0.8407, 0.8407, 1.0, 1.0, 1.0, 0.7047, 0.6664, nan, 1.0, 0.9968, nan, 0.9975, 1.0, 0.9911, 1.0, 1.0, 0.8602, nan, 0.9377, 0.9995, nan, 1.0, 0.5458, 1.0, 0.9986, 0.9945, nan, 0.3842, 0.3509, nan, 0.9988, nan, 1.0, 0.9941, 0.9137, 0.9085, 0.9826, 0.6265, 0.4368, 0.3131, 0.3939, 0.9838, 0.961, nan, 0.5584, 0.5255, 1.0, nan]",0.8574800000000001,0.3131,201811080913-878163-1929_,['CONCOW'],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[-121.513493],[39.7703164],['CONCOW'],right now i m gonna make you you are going to get eighty two twenty one you re making me twenty one eight two one three and twenty one forty thank you good and i say we reported to lark pots and a yard residents and concow,0,0,2018-11-08 07:32:10-08:00,2018-11-08 07:32:10-08:00
Come ,1150.61,1150.67,0.060000000000172804,spk_4,127.0,[0.529],0.529,0.529,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],come,0,0,2018-11-08 07:32:10-08:00,2018-11-08 07:32:10-08:00
FIRE available . Always wanted places at once and place . Event in one zero seven . Thirty . What number for ,203.36,203.87,0.5099999999999909,spk_4,11.0,"[1.0, 1.0, nan, 0.9967, 0.7456, 0.7741, 0.7335, 0.8472, 0.9931, 0.9834, nan, 0.5171, 0.6065, 0.9941, 0.685, 1.0, nan, 1.0, nan, 1.0, 0.936, 0.9149]",0.8737333333333334,0.5171,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],fire available always wanted places at once and place event in one zero seven thirty what number for,1,0,2018-11-08 07:32:23-08:00,2018-11-08 07:32:23-08:00
that It is . ,213.6,214.61,1.0100000000000193,spk_7,12.0,"[0.9633, 0.9965, 0.9882, nan]",0.9826666666666667,0.9633,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],that it is,0,0,2018-11-08 07:32:33-08:00,2018-11-08 07:32:34-08:00
FIRE division was ,216.72,218.95,2.2299999999999898,spk_3,13.0,"[1.0, 0.996, 0.4169]",0.8043,0.4169,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],fire division was,1,0,2018-11-08 07:32:36-08:00,2018-11-08 07:32:38-08:00
not responding to the accident here at seven . Thirty . ,223.75,224.42,0.6699999999999875,spk_7,14.0,"[0.622, 0.6941, 0.8348, 1.0, 0.9686, 0.6074, 0.2684, 0.9788, nan, 0.9226, nan]",0.7663,0.2684,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],not responding to the accident here at seven thirty,0,0,2018-11-08 07:32:43-08:00,2018-11-08 07:32:44-08:00
because ,229.19,232.84,3.6500000000000057,spk_7,16.0,[0.7101],0.7101,0.7101,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],because,0,0,2018-11-08 07:32:49-08:00,2018-11-08 07:32:52-08:00
"CHICO FIRE , ",229.02,229.18,0.1599999999999966,spk_8,15.0,"[0.4141, 0.9989, nan]",0.7065,0.4141,201811080929-467022-25641_,['CHICO'],CA,Chico_Police_Dispatch,POLICE,[-121.8183895],[39.7554055],['CHICO'],chico fire,1,0,2018-11-08 07:32:49-08:00,2018-11-08 07:32:49-08:00
interesting one . Traffic accident out on highway ninety nine COHASSET . I'm not on injuries . We'LL be advising you to be at least forty five vehicles . FIRE zero seven thirty two Take a FIRE ENGINE too available . Always wanted place Eventually ENGINE to a place of ENGINE one zero seven thirty years . ,111.21,111.61,0.4000000000000057,spk_0,22.0,"[0.3855, 0.4286, nan, 1.0, 0.9475, 0.9722, 0.9751, 1.0, 1.0, 1.0, 0.3144, nan, 0.9415, 0.7713, 0.9911, 0.9974, nan, 0.5074, 0.9988, 0.998, 0.9667, 0.8667, 0.9137, 0.9982, 0.9982, 0.694, 0.7454, 0.9664, nan, 0.9739, 0.9599, 0.9938, 0.9996, 0.6985, 0.8601, 0.366, 0.9849, 0.9812, 0.4009, 1.0, nan, 0.9979, 0.3759, 0.9905, 0.8334, 0.9656, 0.669, 0.6414, 0.9907, 0.9998, 0.9988, 0.8724, 0.6376, 1.0, 1.0, 0.9403, nan]",0.8531411764705883,0.3144,201811080931-763045-22956_,"['COHASSET', 'COHASSET']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.7448212, -121.7448212]","[39.9027142, 39.9027142]","['COHASSET', 'COHASSET']",interesting one traffic accident out on highway ninety nine cohasset i m not on injuries we ll be advising you to be at least forty five vehicles fire zero seven thirty two take a fire engine too available always wanted place eventually engine to a place of engine one zero seven thirty years,1,0,2018-11-08 07:32:51-08:00,2018-11-08 07:32:51-08:00
you haven't way ,232.84,238.39,5.549999999999983,spk_3,17.0,"[0.9999, 0.8597, 0.8463]",0.9019666666666666,0.8463,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],you haven t way,0,0,2018-11-08 07:32:52-08:00,2018-11-08 07:32:58-08:00
are inundated with nine eleven right now . Unable to do anything but meets The assistants will try to help it Just once ,245.153,247.513,2.3600000000000136,spk_7,18.0,"[0.9824, 1.0, 1.0, 0.9974, 0.9668, 1.0, 1.0, nan, 0.9745, 1.0, 1.0, 1.0, 0.8844, 0.4603, 0.8867, 0.3986, 0.9751, 0.9246, 0.9534, 0.9972, 0.1849, 0.9993, 0.7678]",0.8797,0.1849,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],are inundated with nine eleven right now unable to do anything but meets the assistants will try to help it just once,0,0,2018-11-08 07:33:05-08:00,2018-11-08 07:33:07-08:00
"That's fine , OROVILLE . Twenty one thirteen . Before you ",127.398,127.788,0.39000000000000057,spk_4,25.0,"[0.2744, 0.1391, nan, 0.8948, nan, 1.0, 0.9973, 0.9554, nan, 0.6627, 0.2822]",0.6507375,0.1391,201811080931-763045-22956_,['OROVILLE'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.5600132],[39.4954747],['OROVILLE'],that s fine oroville twenty one thirteen before you,0,0,2018-11-08 07:33:07-08:00,2018-11-08 07:33:07-08:00
"FIRE , you haven't way . Are inundated with nine eleven right now . Unable to do anything that needs assistance will try to help in this one . It isn't wants one world and were in league with . ",162.858,162.888,0.030000000000001137,spk_7,29.0,"[0.999, nan, 1.0, 0.5456, 0.8828, nan, 0.9729, 1.0, 1.0, 0.9997, 0.9475, 0.9983, 1.0, nan, 0.9995, 1.0, 1.0, 1.0, 0.9316, 0.8371, 0.8497, 0.9701, 0.996, 0.9902, 0.991, 0.4939, 0.3026, 0.7083, nan, 0.7543, 0.7649, 0.7694, 0.8539, 1.0, 0.4189, 0.8996, 0.9528, 0.9423, 1.0, nan]",0.8791971428571428,0.3026,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],fire you haven t way are inundated with nine eleven right now unable to do anything that needs assistance will try to help in this one it isn t wants one world and were in league with,1,0,2018-11-08 07:33:42-08:00,2018-11-08 07:33:42-08:00
I ,162.948,163.278,0.3299999999999841,spk_4,30.0,[0.2255],0.2255,0.2255,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],i,0,0,2018-11-08 07:33:42-08:00,2018-11-08 07:33:43-08:00
no one wants . We're always gonna leave Gabi . Drug one going ,282.803,283.313,0.5099999999999909,spk_4,22.0,"[0.1625, 0.5732, 0.6125, nan, 0.5977, 0.933, 0.4861, 0.3542, 0.8604, nan, 0.6349, 0.509, 0.821]",0.5949545454545455,0.1625,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],no one wants we re always gonna leave gabi drug one going,0,0,2018-11-08 07:33:42-08:00,2018-11-08 07:33:43-08:00
FIRE ! Medic ! ,283.593,283.733,0.13999999999998636,spk_7,23.0,"[0.8552, nan, 0.4134, nan]",0.6343,0.4134,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],fire medic,1,0,2018-11-08 07:33:43-08:00,2018-11-08 07:33:43-08:00
What ,283.923,285.143,1.2199999999999704,spk_4,24.0,[0.4875],0.4875,0.4875,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],what,0,0,2018-11-08 07:33:43-08:00,2018-11-08 07:33:45-08:00
can't ,170.398,170.898,0.5,spk_0,31.0,[0.2883],0.2883,0.2883,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],can t,0,0,2018-11-08 07:33:50-08:00,2018-11-08 07:33:50-08:00
"on . One , three , three , nine , zero , three , nineteen , twenty , forty Utility for waiting . What ? DURHAM , OROVILLE twenty one thirteen in service for years . OROVILLE Refund of the camp . Right , BIGGS , He was tryingto EVACUATE ENGINE NORD . Do you want ",1303.672,1304.082,0.41000000000008185,spk_2,143.0,"[0.3693, nan, 0.9922, nan, 1.0, nan, 1.0, nan, 1.0, nan, 0.9986, nan, 0.859, nan, 0.4517, nan, 0.9406, nan, 0.6113, 0.7096, 0.5483, 0.1705, nan, 0.3841, nan, 0.3646, nan, 0.962, 0.8672, 0.9007, 0.95, 0.5661, 0.6462, 0.8713, 0.6583, nan, 0.7502, 0.3559, 0.229, 0.3497, 0.4583, nan, 0.3671, nan, 0.7539, nan, 0.9266, 0.9997, 0.4847, 0.9284, 0.9115, 0.2765, nan, 0.4753, 0.9484, 0.9551]",0.6921,0.1705,201811080913-878163-1929_,"['OROVILLE', 'DURHAM', 'BIGGS', 'NORD']",CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,"[-121.5600132, -121.7907705, -121.7100758, -121.9549057]","[39.4954747, 39.6293576, 39.4132906, 39.7737878]","['OROVILLE', 'DURHAM', 'BIGGS', 'NORD']",on one three three nine zero three nineteen twenty forty utility for waiting what durham oroville twenty one thirteen in service for years oroville refund of the camp right biggs he was tryingto evacuate engine nord do you want,0,1,2018-11-08 07:34:43-08:00,2018-11-08 07:34:44-08:00
fifteen . Leave us with appropriate overhead . Really ? ENGINE sixty one . Earlier Resource requests fifteen ENGINE four water tender . Four can't fight . The OROVILLE started happening . ,224.758,225.068,0.3100000000000023,spk_2,40.0,"[0.8884, nan, 0.9876, 0.9743, 0.6986, 1.0, 0.7353, nan, 0.6009, nan, 0.6851, 0.9257, 0.8453, nan, 1.0, 0.9665, 0.9699, 1.0, 0.9997, 0.3985, 0.9994, 0.748, nan, 0.6799, 0.6919, 0.5371, nan, 0.6644, 0.9996, 0.9935, 0.5046, nan]",0.8197680000000002,0.3985,201811080931-763045-22956_,['OROVILLE'],CA,Chico_Paradise_Fire__CalFire,FIRE,[-121.5600132],[39.4954747],['OROVILLE'],fifteen leave us with appropriate overhead really engine sixty one earlier resource requests fifteen engine four water tender four can t fight the oroville started happening,0,0,2018-11-08 07:34:44-08:00,2018-11-08 07:34:45-08:00
about ninety nine ? ,347.153,347.593,0.4399999999999977,spk_8,25.0,"[1.0, 0.963, 0.9609, nan]",0.9746333333333334,0.9609,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],about ninety nine,0,0,2018-11-08 07:34:47-08:00,2018-11-08 07:34:47-08:00
It's ,348.003,350.033,2.0300000000000296,spk_7,26.0,[0.6439],0.6439,0.6439,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],it s,0,0,2018-11-08 07:34:48-08:00,2018-11-08 07:34:50-08:00
Okay . I ,228.218,229.868,1.6500000000000057,spk_0,42.0,"[0.2324, nan, 0.2659]",0.24915,0.2324,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],okay i,0,0,2018-11-08 07:34:48-08:00,2018-11-08 07:34:49-08:00
twenty five cover one point five i'll be ours one Happy twenty six twenty five ,1431.648,1432.068,0.42000000000007276,spk_3,24.0,"[1.0, 1.0, 0.9441, 0.954, 0.9888, 1.0, 0.9467, 0.9527, 0.5801, 0.9834, 0.3445, 1.0, 1.0, 1.0, 0.9999]",0.9129466666666667,0.3445,201811080911-136992-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],twenty five cover one point five i ll be ours one happy twenty six twenty five,0,0,2018-11-08 07:34:51-08:00,2018-11-08 07:34:52-08:00
four ? They're all waiting for . ,1318.102,1320.252,2.1499999999998636,spk_4,145.0,"[0.2398, nan, 0.4024, 0.3336, 0.5479, 0.836, nan]",0.47194,0.2398,201811080913-878163-1929_,[],CA,Butte_Sheriff_Fire__Paradise_Police,BOTH,[],[],[],four they re all waiting for,0,0,2018-11-08 07:34:58-08:00,2018-11-08 07:35:00-08:00
"can't like the OROVILLE . Priority . Traffic done . Can't be reported . FIRE spreading structure three , four eight CONCOW NORD ",251.407,252.887,1.4799999999999898,spk_4,47.0,"[0.7937, 0.9598, 0.8968, 0.9462, nan, 0.9945, nan, 0.9915, 0.6573, nan, 0.5231, 0.6308, 0.6605, nan, 0.9591, 0.4571, 0.9997, 1.0, nan, 0.9849, 0.9981, 0.9723, 0.9919]",0.8565166666666667,0.4571,201811080931-763045-22956_,"['OROVILLE', 'CONCOW', 'NORD']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.5600132, -121.513493, -121.9549057]","[39.4954747, 39.7703164, 39.7737878]","['OROVILLE', 'CONCOW', 'NORD']",can t like the oroville priority traffic done can t be reported fire spreading structure three four eight concow nord,1,0,2018-11-08 07:35:11-08:00,2018-11-08 07:35:12-08:00
The last I got you something ,1457.048,1459.048,2.0,spk_2,27.0,"[0.9915, 1.0, 0.4858, 0.5268, 0.4265, 0.8706]",0.7168666666666667,0.4265,201811080911-136992-26936_,[],CA,Oroville_Police_Fire,BOTH,[],[],[],the last i got you something,0,0,2018-11-08 07:35:17-08:00,2018-11-08 07:35:19-08:00
one where we're digging ,273.727,275.897,2.170000000000016,spk_0,48.0,"[0.9831, 1.0, 0.9966, 0.6058]",0.8963749999999999,0.6058,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],one where we re digging,0,0,2018-11-08 07:35:33-08:00,2018-11-08 07:35:35-08:00
the one where we're taking him down . Division wanted you were down . Looks like you're coming up on it . ,402.16,405.15,2.9899999999999523,spk_3,32.0,"[0.9611, 0.9982, 0.9312, 0.8281, 0.9573, 0.2661, 0.5948, nan, 0.9423, 0.6651, 0.922, 0.9327, 0.9505, nan, 0.822, 0.89, 0.9077, 1.0, 0.9645, 0.9645, 0.9892, nan]",0.8677526315789472,0.2661,201811080929-467022-25641_,[],CA,Chico_Police_Dispatch,POLICE,[],[],[],the one where we re taking him down division wanted you were down looks like you re coming up on it,0,0,2018-11-08 07:35:42-08:00,2018-11-08 07:35:45-08:00
"Can't be OROVILLE , Did you coffee Report of a FIRE Standing to a structure three four , eight north of CONCOW CONCOW . ",286.287,286.717,0.4300000000000068,spk_2,52.0,"[0.879, 0.2564, 0.9513, nan, 0.8163, 0.7392, 0.9264, 0.8302, 0.8295, 0.8371, 0.9618, 0.9845, 0.887, 0.9995, 0.995, 1.0, 0.9065, nan, 0.9969, 0.9611, 0.9629, 0.9349, 0.912, nan]",0.8841666666666667,0.2564,201811080931-763045-22956_,"['OROVILLE', 'CONCOW']",CA,Chico_Paradise_Fire__CalFire,FIRE,"[-121.5600132, -121.513493]","[39.4954747, 39.7703164]","['OROVILLE', 'CONCOW']",can t be oroville did you coffee report of a fire standing to a structure three four eight north of concow concow,1,0,2018-11-08 07:35:46-08:00,2018-11-08 07:35:46-08:00
You ,287.627,288.857,1.2300000000000182,spk_4,53.0,[0.9117],0.9117,0.9117,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],you,0,0,2018-11-08 07:35:47-08:00,2018-11-08 07:35:48-08:00
"were bound for years , ",305.347,307.167,1.8199999999999932,spk_0,56.0,"[0.9667, 0.7657, 0.5167, 0.5327, nan]",0.6954500000000001,0.5167,201811080931-763045-22956_,[],CA,Chico_Paradise_Fire__CalFire,FIRE,[],[],[],were bound for years,0,0,2018-11-08 07:36:05-08:00,2018-11-08 07:36:07-08:00
"Last year it was traffic . You have information for FIRE and you have traffic . CHICO , FIRE ! ",427.17,428.52,1.349999999999966,spk_7,35.0,"[0.8495, 0.835, 0.9318, 1.0, 0.9799, nan, 0.9995, 1.0, 1.0, 0.9969, 0.9911, 0.6498, 1.0, 1.0, 0.9991, nan, 0.8288, nan, 0.9996, nan]",0.9413125,0.6498,201811080929-467022-25641_,['CHICO'],CA,Chico_Police_Dispatch,POLICE,[-121.8183895],[39.7554055],['CHICO'],last year it was traffic you have information for fire and you have traffic chico fire,1,0,2018-11-08 07:36:07-08:00,2018-11-08 07:36:08-08:00
